theta_deg,mode,energy_keV,ff_cm2_g,pp_cm2_g,absorption_cm2_g,scattering_cm2_g,total_cm2_g
5.0,1,0.018033944128888642,1.843534445435278e-6,3.643766941075093e-7,2.2079111395427875e-6,9.647018462512915e-11,2.2080076097274127e-6
5.0,1,0.018252277419666982,1.8818515955488265e-6,3.6377267679865514e-7,2.245624272347482e-6,9.88206414188839e-11,2.2457230929889007e-6
5.0,1,0.018473254027155266,1.9209802604988015e-6,3.631690594501036e-7,2.284149319948905e-6,1.0122838772884432e-10,2.284250548336634e-6
5.0,1,0.01869690595345086,1.9609386677856416e-6,3.6256584991175513e-7,2.3235045176973966e-6,1.0369482153568279e-10,2.3236082125189324e-6
5.0,1,0.018923265588094,2.001745503142311e-6,3.6196305622927664e-7,2.3637085593715876e-6,1.0622137505493477e-10,2.3638147807466426e-6
5.0,1,0.019152365712758503,2.0434199244792865e-6,3.613606866488454e-7,2.404780611128132e-6,1.0880951558462834e-10,2.4048894206437164e-6
5.0,1,0.019384239505999233,2.085981575512622e-6,3.6075874962208696e-7,2.446740325134709e-6,1.1146074637428187e-10,2.4468517858810834e-6
5.0,1,0.019618920548057067,2.129450599787397e-6,3.601572538111343e-7,2.489607853598531e-6,1.1417660751611049e-10,2.4897220302060473e-6
5.0,1,0.019856442825722017,2.173847656872058e-6,3.5955620809365827e-7,2.5334038649657165e-6,1.1695867685975453e-10,2.5335208236425764e-6
5.0,1,0.02009684073725525,2.219193936532328e-6,3.5895562156825045e-7,2.5781495581005783e-6,1.1980857094955303e-10,2.5782693666715277e-6
5.0,1,0.02034014909737068,2.2655111763934337e-6,3.5835550355968325e-7,2.623866679953117e-6,1.2272794598715933e-10,2.6239894078991043e-6
5.0,1,0.020586403142276864,2.312821676597606e-6,3.5775586362458984e-7,2.6705775402221955e-6,1.257184988176143e-10,2.670703258721013e-6
5.0,1,0.020835638534779984,2.3611483196252338e-6,3.571567115569171e-7,2.718305031182151e-6,1.2878196794286712e-10,2.718433813150094e-6
5.0,1,0.02108789136944854,2.410514585490017e-6,3.5655805739392146e-7,2.7670726428839384e-6,1.319201345594821e-10,2.767204563018498e-6
5.0,1,0.02134319817784063,2.460944573070127e-6,3.559599114218882e-7,2.816904484492015e-6,1.3513482362573903e-10,2.8170396193156406e-6
5.0,1,0.021601595933794494,2.5124630170729554e-6,3.553622841823718e-7,2.867825301255327e-6,1.384279049545087e-10,2.867963729160282e-6
5.0,1,0.021863122058783106,2.5650953100786525e-6,3.5476518647826545e-7,2.919860496556918e-6,1.4180129433673753e-10,2.9200022978512547e-6
5.0,1,0.02212781442733359,2.6188675210487428e-6,3.541686293803121e-7,2.973036150429055e-6,1.4525695469263835e-10,2.9731814073837476e-6
5.0,1,0.022395711372512266,2.6738064202338418e-6,3.535726242334089e-7,3.0273790444672507e-6,1.487968972558994e-10,3.0275278413645066e-6
5.0,1,0.02266685169147608,2.729939498498133e-6,3.529771826634772e-7,3.0829166811616105e-6,1.5242318278639938e-10,3.0830691043443967e-6
5.0,1,0.02294127465109127,2.787294990462719e-6,3.523823165842825e-7,3.1396773070470016e-6,1.56137922816585e-10,3.139833444969818e-6
5.0,1,0.023219019993620013,2.8459019025293643e-6,3.5178803820422216e-7,3.1976899407335867e-6,1.599432809331945e-10,3.19784988401452e-6
5.0,1,0.02350012794247599,2.905790034114969e-6,3.5119436003370884e-7,3.256984394148678e-6,1.6384147408968927e-10,3.2571482356227677e-6
