 FILTERED output of ioneqmn.
    NRmax =  55,  NTmax =  21
                       thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
 -4.00   3.8152   1.989    -7.22  48.27   1.03  1.003  0.999 2.72E-03 1.40E-03 0.00E+00 6.25E-02  -6.898  -6.899
 -3.80   4.0150   1.988    -7.22  47.36   1.03  1.003  0.999 2.93E-03 1.61E-03 0.00E+00 6.62E-02  -6.854  -6.855
 -3.60   4.2148   1.987    -7.22  46.45   1.03  1.004  0.999 3.16E-03 1.84E-03 0.00E+00 7.01E-02  -6.798  -6.798
 -3.40   4.4145   1.986    -7.22  45.54   1.04  1.004  0.999 3.40E-03 2.11E-03 2.35E-19 7.39E-02  -6.726  -6.728
 -3.20   4.6141   1.984    -7.22  44.63   1.04  1.005  0.999 3.65E-03 2.42E-03 9.19E-19 7.79E-02  -6.639  -6.642
 -3.00   4.8137   1.982    -7.22  43.72   1.04  1.005  0.999 3.92E-03 2.77E-03 3.58E-18 8.20E-02  -6.535  -6.540
 -2.80   5.0135   1.981    -7.22  42.81   1.04  1.006  0.999 4.19E-03 3.16E-03 1.39E-17 8.67E-02  -6.414  -6.423
 -2.60   5.2129   1.979    -7.22  41.89   1.05  1.007  0.998 4.49E-03 3.60E-03 5.42E-17 9.05E-02  -6.280  -6.294
 -2.40   5.4126   1.977    -7.22  40.98   1.05  1.008  0.998 4.82E-03 4.09E-03 2.09E-16 9.60E-02  -6.132  -6.154
 -2.20   5.6117   1.973    -7.22  40.07   1.06  1.010  0.998 5.21E-03 4.65E-03 8.12E-16 9.98E-02  -5.974  -6.008
 -2.00   5.8114   1.972    -7.23  39.16   1.07  1.011  0.998 5.68E-03 5.29E-03 3.12E-15 1.06E-01  -5.814  -5.856
 -1.80   6.0109   1.970    -7.23  38.25   1.08  1.014  0.998 6.28E-03 6.04E-03 1.20E-14 1.11E-01  -5.652  -5.704
 -1.60   6.2096   1.964    -7.24  37.32   1.09  1.017  0.997 7.17E-03 7.05E-03 4.66E-14 1.11E-01  -5.485  -5.545
 -1.40   6.4089   1.961    -7.25  36.42   1.11  1.021  0.996 8.20E-03 8.16E-03 1.77E-13 1.16E-01  -5.323  -5.387
 -1.20   6.6081   1.957    -7.27  35.50   1.14  1.026  0.995 9.56E-03 9.55E-03 6.68E-13 1.21E-01  -5.165  -5.229
 -1.00   6.8071   1.952    -7.29  34.59   1.18  1.032  0.993 1.13E-02 1.13E-02 2.49E-12 1.26E-01  -5.014  -5.071
 -0.80   7.0055   1.945    -7.31  33.67   1.23  1.041  0.991 1.35E-02 1.35E-02 9.21E-12 1.31E-01  -4.862  -4.910
 -0.60   7.2007   1.924    -7.35  32.71   1.31  1.055  0.988 1.66E-02 1.66E-02 3.45E-11 1.27E-01  -4.700  -4.740
 -0.40   7.3979   1.912    -7.40  31.79   1.42  1.070  0.984 2.02E-02 2.02E-02 1.21E-10 1.35E-01  -4.530  -4.565
 -0.20   7.5944   1.896    -7.45  30.85   1.57  1.089  0.980 2.48E-02 2.48E-02 4.16E-10 1.42E-01  -4.353  -4.384
  0.00   7.7901   1.878    -7.53  29.91   1.78  1.113  0.977 3.07E-02 3.07E-02 1.38E-09 1.49E-01  -4.172  -4.202
  0.20   7.9851   1.856    -7.63  28.96   2.04  1.144  0.972 3.80E-02 3.80E-02 4.36E-09 1.56E-01  -3.994  -4.023
  0.40   8.1791   1.830    -7.75  27.99   2.37  1.180  0.967 4.69E-02 4.69E-02 1.30E-08 1.62E-01  -3.818  -3.846
  0.60   8.3719   1.800    -7.90  27.00   2.76  1.223  0.961 5.68E-02 5.68E-02 3.54E-08 1.69E-01  -3.642  -3.670
  0.80   8.5635   1.766    -8.09  25.99   3.22  1.271  0.954 6.71E-02 6.71E-02 8.59E-08 1.76E-01  -3.465  -3.492
  1.00   8.7539   1.727    -8.31  24.96   3.71  1.324  0.948 7.59E-02 7.59E-02 1.75E-07 1.86E-01  -3.282  -3.310
  1.20   8.9429   1.684    -8.57  23.92   4.19  1.372  0.942 8.09E-02 8.09E-02 2.80E-07 2.01E-01  -3.089  -3.117
  1.40   9.1310   1.638    -8.85  22.87   4.62  1.411  0.939 7.90E-02 7.90E-02 3.12E-07 2.21E-01  -2.878  -2.906
  1.60   9.3189   1.593    -9.15  21.83   4.96  1.441  0.939 6.82E-02 6.82E-02 1.99E-07 2.50E-01  -2.640  -2.669
  1.80   9.5069   1.550    -9.46  20.80   5.87  1.509  0.943 4.91E-02 4.91E-02 5.53E-08 2.83E-01  -2.364  -2.393
  2.00   9.6963   1.513    -9.76  19.80   5.14  1.417  0.950 2.68E-02 2.68E-02 4.16E-09 3.14E-01  -2.000  -2.031
  2.20   9.8870   1.481   -10.03  18.84   4.93  1.362  0.956 9.34E-03 9.34E-03 4.08E-11 3.29E-01  -1.580  -1.613
  2.40  10.0783   1.451   -10.26  17.95   4.49  1.287  0.953 1.54E-03 1.54E-03 1.62E-14 3.21E-01  -1.030  -1.069
  2.60  10.2661   1.411   -10.46  17.10   3.78  1.224  0.920 6.88E-05 6.88E-05 0.00E+00 2.89E-01  -0.266  -0.318
  2.80  10.4435   1.340   -10.65  16.28   2.99  1.244  0.840 3.25E-07 3.25E-07 0.00E+00 2.38E-01   0.725   0.636
  3.00  10.5986   1.208   -10.89  15.44   2.26  1.431  0.694 3.48E-11 3.48E-11 0.00E+00 1.74E-01   1.142   1.052
  3.20  10.7166   1.000   -11.27  14.53   1.76  1.894  0.458 8.38E-18 8.38E-18 0.00E+00 1.10E-01   1.505   1.418
  3.40  10.7727   0.718   -11.85  13.53   1.58  2.908  0.049 0.00E+00 0.00E+00 0.00E+00 5.58E-02   2.290   2.193
     6.000    14.000
